,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE47,Intitulé de l'EC,SHS4,Sciences Humaines et Sociales,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,Comptabilité / gestion (initiation) / gestion budgétaire et financière,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,53,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Suivi des réalisations : contrôle budgétaire, tableaux de bord, reporting",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,,M,,,,,,,,,,,,
Droit,Capacité,Apréhender les différents cadres législatifs et réglementaires du droit travail selon le contexte.  ,,,,,,,,,,,,,,,,,,,,,,,,,
Gestion budgétaire et financière,Capacité,"Appréhender  les principales notions et outils d’analyse financière, en lien avec le contexte. (approche internationael et interculturelel)",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Droit: mener une vielle liée au droit du travail  adaptée à la situation.,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,les bases de la gestion ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Les bases de la gestion Financière,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
